DATE,TMIN,TMAX,PRCP
2022-08-01,25.8,33.6,0.5
2022-08-02,26.0,33.0,7.1
2022-08-03,26.0,33.2,37.1
2022-08-04,26.5,33.0,0.5
2022-08-05,27.7,35.5,0.0
2022-08-06,28.0,35.0,5.9
2022-08-07,28.0,34.0,17.2
2022-08-08,28.2,35.2,0.7
2022-08-09,28.0,33.4,0.0
2022-08-10,28.0,31.6,1.2
2022-08-11,27.8,33.0,1.3
2022-08-12,26.4,34.0,1.1
2022-08-13,27.1,35.5,11.5
2022-08-14,28.0,33.5,8.6
2022-08-15,26.0,33.0,3.0
2022-08-16,26.8,35.0,0.5
2022-08-17,27.2,35.0,0.0
2022-08-18,27.6,36.0,2.0
2022-08-19,25.4,34.4,0.0
2022-08-20,25.1,31.1,24.9
2022-08-21,26.8,33.0,0.0
2022-08-22,27.0,35.0,1.0
2022-08-23,26.0,34.2,0.0
2022-08-24,25.6,34.4,46.0
2022-08-25,26.1,33.2,4.1
2022-08-26,27.7,34.0,0.0
2022-08-27,29.0,35.0,1.0
2022-08-28,26.5,30.3,0.3
2022-08-29,26.2,34.2,1.0
2022-08-30,27.8,35.0,0.0
2022-08-31,26.6,34.4,5.9
2022-09-01,26.8,34.0,13.7
2022-09-02,26.7,34.0,4.5
2022-09-03,25.0,32.2,9.1
2022-09-04,26.0,35.0,12.8
2022-09-05,27.6,34.0,5.4
2022-09-06,26.0,33.0,9.1
2022-09-07,27.0,33.0,10.0
2022-09-08,27.4,33.0,13.0
2022-09-09,26.7,34.3,9.8
2022-09-10,26.2,35.0,6.9
2022-09-11,26.8,33.3,2.5
2022-09-12,26.6,31.4,14.9
2022-09-13,25.0,31.2,3.0
2022-09-14,25.1,29.0,18.0
2022-09-15,25.6,31.4,4.1
2022-09-16,25.1,32.0,9.9
2022-09-17,25.2,31.0,23.9
2022-09-18,26.0,32.0,0.5
2022-09-19,26.0,33.3,1.0
2022-09-20,25.3,33.3,2.0
2022-09-21,26.4,32.5,0.5
2022-09-22,27.0,34.1,0.0
2022-09-23,27.0,35.1,0.0
2022-09-24,26.7,33.0,8.3
2022-09-25,26.7,33.0,3.5
2022-09-26,26.6,33.0,7.9
2022-09-27,25.2,33.0,1.0
2022-09-28,25.5,34.0,2.0
2022-09-29,26.0,32.0,0.0
2022-09-30,25.4,32.0,0.3
2022-10-01,25.8,34.0,9.9
2022-10-02,26.0,34.0,0.0
2022-10-03,25.0,34.5,9.5
2022-10-04,25.5,27.4,17.0
2022-10-05,24.6,32.0,10.9
2022-10-06,25.7,32.0,0.0
2022-10-07,26.8,33.0,0.1
2022-10-08,25.0,34.0,0.3
2022-10-09,25.8,34.2,0.0
2022-10-10,24.0,34.0,9.4
2022-10-11,25.0,30.0,4.4
2022-10-12,25.0,30.0,6.8
2022-10-13,25.0,32.0,0.0
2022-10-14,24.0,33.0,0.0
2022-10-15,22.6,32.0,0.0
2022-10-16,22.0,32.0,0.0
2022-10-17,23.0,32.0,0.0
2022-10-18,22.0,32.0,0.0
2022-10-19,22.3,31.0,0.0
2022-10-20,23.0,31.0,0.0
2022-10-21,23.0,32.0,0.0
2022-10-22,21.6,32.0,0.0
2022-10-23,21.0,33.0,0.0
2022-10-24,21.0,33.0,0.0
2022-10-25,22.0,33.0,0.0
2022-10-26,21.0,32.0,0.0
2022-10-27,19.0,31.0,0.0
2022-10-28,19.0,31.0,0.0
2022-10-29,19.0,31.0,0.0
2022-10-30,20.0,31.0,0.0
2022-10-31,20.0,31.0,0.0
2022-11-01,20.6,31.0,0.0
2022-11-02,21.0,31.0,0.0
2022-11-03,19.8,31.0,0.0
2022-11-04,18.8,32.0,0.0
2022-11-05,19.0,30.0,0.0
2022-11-06,18.5,30.0,0.0
2022-11-07,20.0,31.0,0.0
2022-11-08,19.0,31.0,0.0
2022-11-09,19.8,30.0,0.0
2022-11-10,20.0,30.0,0.0
2022-11-11,20.0,30.0,0.0
2022-11-12,18.0,29.0,0.0
2022-11-13,16.0,28.0,0.0
2022-11-14,15.0,28.0,0.0
2022-11-15,15.0,28.0,0.0
2022-11-16,16.0,29.0,0.0
2022-11-17,16.6,29.0,0.0
2022-11-18,14.0,27.0,0.0
2022-11-19,13.0,27.0,0.0
2022-11-20,15.0,27.0,0.0
2022-11-21,14.0,28.0,0.0
2022-11-22,16.0,28.0,0.0
2022-11-23,14.8,28.0,0.0
2022-11-24,14.0,27.0,0.0
2022-11-25,14.0,28.0,0.0
2022-11-26,15.4,28.2,0.0
2022-11-27,14.8,28.0,0.0
2022-11-28,14.0,28.0,0.0
2022-11-29,15.0,28.0,0.0
2022-11-30,15.0,28.0,0.0
2022-12-01,15.0,27.4,0.0
2022-12-02,12.1,26.6,0.0
2022-12-03,13.0,26.0,0.0
2022-12-04,11.6,26.0,0.0
2022-12-05,14.0,26.0,0.0
2022-12-06,14.0,25.0,0.0
2022-12-07,13.0,25.0,0.0
2022-12-08,12.0,25.0,0.0
2022-12-09,12.0,25.0,0.0
2022-12-10,11.8,26.0,0.0
2022-12-11,13.2,27.0,0.0
2022-12-12,14.2,27.0,0.0
2022-12-13,14.4,26.0,0.0
2022-12-14,12.4,26.0,0.0
2022-12-15,12.0,24.0,0.0
2022-12-16,10.0,23.0,0.0
2022-12-17,10.0,24.0,0.0
2022-12-18,12.0,24.2,0.0
2022-12-19,13.0,24.4,0.0
2022-12-20,14.0,24.0,0.0
2022-12-21,13.4,23.0,0.0
2022-12-22,12.0,24.0,0.0
2022-12-23,12.0,26.0,0.0
2022-12-24,13.6,24.0,1.2
2022-12-25,16.6,24.0,0.0
2022-12-26,13.4,25.0,0.0
2022-12-27,12.6,22.4,0.0
2022-12-28,10.8,18.0,0.0
2022-12-29,11.0,20.0,0.0
2022-12-30,10.0,20.0,0.0
2022-12-31,10.0,21.0,0.0
2023-01-01,10.0,19.0,0.0
2023-01-02,13.0,16.0,0.0
2023-01-03,11.4,14.2,0.0
2023-01-04,12.0,15.0,0.0
2023-01-05,10.0,13.0,0.0
2023-01-06,8.6,15.0,0.5
2023-01-07,7.8,14.0,0.0
2023-01-08,8.0,16.0,0.0
2023-01-09,7.0,13.0,0.0
2023-01-10,8.6,17.0,0.0
2023-01-11,8.8,17.4,0.0
2023-01-12,8.0,15.2,0.0
2023-01-13,9.8,20.0,0.0
2023-01-14,10.0,26.0,0.0
2023-01-15,10.6,19.0,0.0
2023-01-16,8.8,19.6,0.0
2023-01-17,6.4,20.0,0.0
2023-01-18,7.0,20.0,0.0
2023-01-19,7.0,22.0,0.0
2023-01-20,8.2,24.0,0.0
2023-01-21,10.6,25.0,0.3
2023-01-22,11.2,25.0,0.0
2023-01-23,13.2,27.0,0.0
2023-01-24,13.4,28.0,0.0
2023-01-25,15.6,28.0,0.0
2023-01-26,17.0,26.0,0.0
2023-01-27,17.4,26.0,0.0
2023-01-28,13.8,23.0,0.0
2023-01-29,11.0,26.0,0.0
2023-01-30,11.6,28.0,0.0
2023-01-31,16.2,26.0,0.0
2023-02-01,15.4,23.3,0.0
2023-02-02,13.0,22.0,0.0
2023-02-03,12.0,25.0,0.0
2023-02-04,13.8,24.0,0.0
2023-02-05,12.8,27.0,0.0
2023-02-06,12.4,27.0,0.0
2023-02-07,12.6,28.0,0.0
2023-02-08,15.0,28.0,0.0
2023-02-09,11.8,27.0,0.0
2023-02-10,13.4,28.0,0.0
2023-02-11,13.6,30.0,0.0
2023-02-12,16.0,29.0,0.0
2023-02-13,13.6,24.0,0.0
2023-02-14,11.0,25.0,0.0
2023-02-15,11.8,26.0,0.0
2023-02-16,13.0,28.0,0.0
2023-02-17,14.0,29.0,0.0
2023-02-18,15.2,31.0,0.0
2023-02-19,16.4,30.4,0.0
2023-02-20,17.6,29.4,0.0
2023-02-21,17.8,31.0,0.0
2023-02-22,18.0,33.0,0.0
2023-02-23,16.6,32.0,0.0
2023-02-24,16.0,31.0,0.0
2023-02-25,14.4,31.0,0.0
2023-02-26,15.2,31.0,0.0
2023-02-27,16.0,31.2,0.0
2023-02-28,17.2,32.0,0.0
2023-03-01,17.0,33.2,0.0
2023-03-02,18.6,33.0,0.0
2023-03-03,20.0,33.3,0.0
2023-03-04,19.8,33.2,0.0
2023-03-05,19.0,33.0,0.0
2023-03-06,19.2,33.0,0.0
2023-03-07,18.0,32.0,0.0
2023-03-08,19.0,29.0,1.6
2023-03-09,16.5,33.0,0.0
2023-03-10,19.4,32.2,0.0
2023-03-11,18.6,33.0,0.0
